Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,AN
 Bullet tournament ,sanle,bastimento,0-1,2016.06.30,22:00:08,2023,1996,-12,13,A04,Zukertort Opening: Black Mustang Defense,60+0,Normal,1. Nf3 Nc6 2. d4 e5 3. e3 exd4 4. Nxd4 d5 5. Nxc6 bxc6 6. Be2 Nf6 7. O-O Bf5 8. Nd2 Bg6 9. Nf3 Bd6 10. Nh4 O-O 11. Nxg6 fxg6 12. c3 Kh8 13. Qa4 Qd7 14. h3 Rfe8 15. b3 Re4 16. Qa5 Nh5 17. Bf3 Re5 18. Bb2 d4 19. cxd4 Rxa5 20. Rad1 Ba3 21. Bc3 Ra6 22. Be2 Rb6 23. Bg4 Qe7 24. Rd2 Bd6 25. Rfd1 Bb4 26. Bxb4 Rxb4 27. d5 Nf6 28. Bf3 h6 29. dxc6 Rb6 30. g4 Re8 31. h4 g5 32. h5 Kh7 33. b4 g6 34. a3 gxh5 35. gxh5 Kg7 36. Rd4 g4 37. Kg2 gxf3+ 38. Kxf3 Kf7 39. Ke2 Qe5 40. f3 Qxe3+ 41. Kf1 Qe2+ 42. Kg1 Rg8+ 43. Kh1 Qg2# 0-1
 Classical ,Leonard7,owl-13,0-1,2016.06.30,22:00:10,1587,1614,-10,12,C50,"Italian Game: Giuoco Pianissimo, Normal",480+3,Time forfeit,1. e4 e5 2. Bc4 Bc5 3. Nf3 Nc6 4. d3 Nf6 5. Ng5 O-O 6. Nc3 Nd4 7. Bxf7+ Rxf7 8. Nxf7 Kxf7 9. Bg5 h6 10. Bh4 g5 11. Bg3 d6 12. Nd5 Nxd5 13. exd5 Qf6 14. c3 Nf5 15. d4 exd4 16. cxd4 Bxd4 17. Qc2 Bxb2 18. Qxc7+ Kg6 19. Rb1 Nxg3 20. Qc2+ Bf5 21. Qxb2 Bxb1 22. Qxb1+ Nf5 23. O-O b6 24. h3 g4 25. Qb3 gxh3 26. Qxh3 Rc8 27. Re1 Rc2 28. a3 Ne7 29. Re6 Rxf2 30. Qg3+ Kf7 31. Rxf6+ Rxf6 32. Qh4 Nxd5 33. Qd4 Nf4 34. Qc3 Ne2+ 35. Kh2 Nxc3 0-1
 Blitz ,invinciblegooner,GurgenONE,1/2-1/2,2016.06.30,22:00:07,1665,1765,2,-3,C55,Italian Game: Anti-Fried Liver Defense,300+0,Normal,1. e4 e5 2. Nf3 Nc6 3. Bc4 h6 4. d3 Nf6 5. Nc3 Bb4 6. Bd2 Qe7 7. a3 Bxc3 8. Bxc3 O-O 9. Qd2 d6 10. O-O-O a6 11. Rde1 b5 12. Ba2 a5 13. Kb1 b4 14. axb4 axb4 15. Bxb4 Nxb4 16. Qxb4 Be6 17. Bxe6 Qxe6 18. c4 c5 19. Qc3 Qd7 20. Kc2 Qa4+ 21. Kd2 Rfb8 22. Ra1 Qb3 23. Rxa8 Qxc3+ 24. bxc3 Rxa8 25. Rc1 Ng4 26. Ke1 Ra2 27. Nd2 g6 28. h3 Nf6 29. Nf3 Nd7 30. d4 f5 31. dxe5 Nxe5 32. Nxe5 dxe5 33. exf5 gxf5 34. Rd1 Rc2 35. Rd5 Rxc3 36. Rxc5 Kf7 37. Kd2 Ra3 38. Rxe5 Kf6 39. Re3 Ra4 40. Kd3 Ra3+ 41. Kd4 Ra4 42. f3 f4 43. Re4 Kf5 44. Re5+ Kf6 45. Kd3 Ra3+ 46. Ke4 Ra4 47. Rc5 Ke6 48. Kxf4 Kd6 49. Rd5+ Kc6 50. Rd4 Kc5 51. Re4 Rxc4 52. Rxc4+ Kxc4 53. g4 Kd5 54. Kf5 Kd6 55. f4 Ke7 56. Kg6 Kf8 57. Kxh6 Kg8 58. h4 Kh8 59. h5 Kg8 60. Kg5 Kg7 61. h6+ Kh7 62. Kh5 Kg8 63. g5 Kh7 64. g6+ Kh8 65. f5 Kg8 66. f6 Kh8 67. g7+ Kg8 68. Kg5 Kh7 69. f7 1/2-1/2
 Bullet ,Ivan2610,eustahije,1/2-1/2,2016.06.30,22:00:10,1595,1673,3,-2,C02,"French Defense: Advance Variation, Nimzowitsch System",60+2,Normal,1. e4 e6 2. e5 d5 3. d4 c5 4. Nf3 Qb6 5. dxc5 Bxc5 6. Qe2 Bd7 7. a4 a6 8. a5 Qa7 9. c3 Nc6 10. b4 Bf8 11. Be3 Qb8 12. Bb6 Nge7 13. Nbd2 Ng6 14. Nb3 Ncxe5 15. Nc5 Bb5 16. Qd1 Nxf3+ 17. Qxf3 Bxf1 18. Rxf1 Qe5+ 19. Kd2 Qf4+ 20. Qxf4 Nxf4 21. g3 Ng6 22. Nxb7 Be7 23. Nc5 O-O 24. f4 Rfc8 25. Rfb1 h5 26. Nd7 Rc6 27. Bc5 Bxc5 28. Nxc5 Ne7 29. Kd3 Nf5 30. Rb2 Nd6 31. Rab1 Nb5 32. Rb3 Rd8 33. Nb7 Rdc8 34. Nc5 g6 35. h4 Kg7 36. c4 dxc4+ 37. Kxc4 Nd6+ 38. Kd3 Nf5 39. Ke4 Rd8 40. R1b2 Rd4+ 41. Kf3 Rcd6 42. Ne4 Rc6 43. Nc5 Rcd6 44. Ne4 Rd3+ 45. Rxd3 Rxd3+ 46. Kf2 Rd4 47. Kf3 Rd3+ 48. Kf2 Rd4 49. Kf3 Rd3+ 1/2-1/2
 Bullet ,peonamigo,skir,0-1,2016.06.30,22:00:11,1735,1714,-12,11,C10,French Defense: Rubinstein Variation,120+1,Time forfeit,1. e4 e6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bd7 5. Bg5 Be7 6. Bxe7 Nxe7 7. Nf3 Bc6 8. Ned2 Bxf3 9. Nxf3 c5 10. Bb5+ Nbc6 11. O-O O-O 12. dxc5 Qa5 13. Qe2 a6 14. Bd3 Qxc5 15. a3 Nd4 16. Nxd4 Qxd4 17. Qh5 g6 18. Qg5 f6 19. Qe3 Qxe3 20. fxe3 Rad8 21. Rf2 f5 22. Raf1 Kg7 23. g4 Rd6 24. gxf5 exf5 25. Bc4 Rfd8 26. Kg2 Rd2 27. Rxd2 Rxd2+ 28. Rf2 Rxf2+ 29. Kxf2 Kf6 30. Bd3 Ke5 31. Kf3 Nd5 32. h4 a5 33. b3 b6 34. Bc4 Nf6 35. a4 Ne4 36. Bb5 Nd2+ 0-1
 Bullet ,Laconia,steq,0-1,2016.06.30,22:00:07,1315,1322,-10,12,A00,Hungarian Opening: Symmetrical Variation,60+0,Time forfeit,1. g3 g6 2. Bg2 Bg7 3. d4 Nf6 4. e4 O-O 5. e5 Ne8 6. Nc3 e6 7. Nf3 f6 8. exf6 Nxf6 9. O-O Nc6 10. Bg5 d5 11. Bxf6 Rxf6 12. Qd2 a6 13. Rfe1 b5 14. Ne2 Qd6 15. c3 Bd7 16. Ne5 Nxe5 17. dxe5 Qxe5 18. Nd4 Qd6 19. a4 Raf8 20. axb5 Rxf2 21. Qxf2 Rxf2 22. Kxf2 Bxb5 23. Nxb5 axb5 24. Ra8+ Bf8 25. Rf1 Kg7 26. Kg1 Qc5+ 27. Kh1 Qe3 28. Raxf8 Kh6 29. R8f3 Qc5 30. Bh3 Qd6 31. Kg2 b4 32. Bg4 bxc3 33. bxc3 Qa3 34. Rf7 Qxc3 35. Bf3 Qg7 36. h4 Qxf7 0-1
 Blitz ,b0nker2,erdema,1-0,2016.06.30,22:00:04,1422,1403,11,-10,D00,Queen's Pawn Game: Mason Attack,300+0,Normal,1. d4 { [%eval 0.24] } 1... d5 { [%eval 0.14] } 2. Bf4 { [%eval 0.17] } 2... f6 { [%eval 0.62] } 3. e3 { [%eval 0.48] } 3... e5?! { [%eval 1.02] } 4. dxe5 { [%eval 1.2] } 4... fxe5? { [%eval 2.5] } 5. Bxe5? { [%eval 0.86] } 5... Qe7?! { [%eval 1.36] } 6. Bd4?! { [%eval 0.74] } 6... h5?! { [%eval 1.63] } 7. Bb5+ { [%eval 1.32] } 7... c6 { [%eval 1.45] } 8. Ba4 { [%eval 1.01] } 8... b5 { [%eval 0.79] } 9. Bb3 { [%eval 0.75] } 9... a5?! { [%eval 1.33] } 10. a4 { [%eval 1.2] } 10... b4 { [%eval 1.04] } 11. Qf3 { [%eval 0.66] } 11... Nh6 { [%eval 0.86] } 12. Nh3 { [%eval 0.57] } 12... Ng4?! { [%eval 1.19] } 13. c4 { [%eval 1.01] } 13... Be6?? { [%eval 4.15] } 14. cxd5 { [%eval 4.08] } 14... cxd5 { [%eval 4.48] } 15. Nd2? { [%eval 1.82] } 15... Qf7? { [%eval 4.41] } 16. Qe2? { [%eval 3.18] } 16... Nc6 { [%eval 3.12] } 17. e4?? { [%eval -4.08] } 17... Nxd4 { [%eval -3.76] } 18. exd5?? { [%eval -10.62] } 18... Nxb3?? { [%eval 1.77] } 19. dxe6 { [%eval 1.7] } 19... Qe7?? { [%eval 5.56] } 20. Qb5+ { [%eval 5.28] } 20... Kd8 { [%eval 6.05] } 21. Nxb3?? { [%eval 1.51] } 21... Qxe6+ { [%eval 1.68] } 22. Kf1 { [%eval 1.7] } 22... Qxb3? { [%eval 2.78] } 23. Qb6+ { [%eval 2.78] } 23... Ke8 { [%eval 2.72] } 24. Qc6+ { [%eval 2.66] } 24... Kf7 { [%eval 2.58] } 25. Ng5+? { [%eval 1.26] } 25... Ke7?? { [%eval 16.42] } 26. Re1+ { [%eval 14.34] } 26... Kd8?! { [%eval #1] } 27. Ne6+?! { [%eval 16.78] } 27... Ke7 { [%eval 16.62] } 28. Nc5+ { [%eval 16.47] } 28... Kf7 { [%eval 16.45] } 29. Nxb3 { [%eval 16.08] } 29... Re8 { [%eval 19.05] } 30. Qc4+ { [%eval 18.76] } 30... Re6?! { [%eval #1] } 31. Qxe6# 1-0
 Blitz ,duncanidah0,FrauKuhn,0-1,2016.06.30,22:00:02,1861,1915,-9,10,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",300+0,Normal,1. e4 { [%eval 0.26] } 1... e5 { [%eval 0.21] } 2. Nf3 { [%eval 0.2] } 2... Nc6 { [%eval 0.29] } 3. Bc4 { [%eval 0.2] } 3... Nf6 { [%eval 0.18] } 4. Ng5 { [%eval 0.09] } 4... d5 { [%eval 0.0] } 5. exd5 { [%eval 0.14] } 5... Na5 { [%eval 0.25] } 6. Bb5+ { [%eval 0.09] } 6... Bd7 { [%eval 0.19] } 7. Qe2 { [%eval 0.32] } 7... Bd6 { [%eval 0.44] } 8. Nc3 { [%eval 0.32] } 8... O-O { [%eval 0.62] } 9. O-O { [%eval 0.25] } 9... c6 { [%eval 0.32] } 10. dxc6 { [%eval 0.25] } 10... Bxc6 { [%eval 0.6] } 11. Bxc6 { [%eval 0.53] } 11... Nxc6 { [%eval 0.53] } 12. Nge4 { [%eval 0.08] } 12... Nd4 { [%eval 0.37] } 13. Nxf6+?! { [%eval -0.22] } 13... Qxf6 { [%eval -0.14] } 14. Qd3 { [%eval -0.47] } 14... Rac8? { [%eval 0.67] } 15. Ne4 { [%eval 0.65] } 15... Qg6 { [%eval 0.63] } 16. c3?! { [%eval 0.04] } 16... Nc6 { [%eval 0.32] } 17. Qf3 { [%eval 0.04] } 17... Bb8 { [%eval 0.39] } 18. d3 { [%eval 0.27] } 18... Rcd8 { [%eval 0.49] } 19. b3 { [%eval 0.22] } 19... f5 { [%eval 0.21] } 20. Nc5? { [%eval -1.4] } 20... b6?! { [%eval -0.42] } 21. Nb7? { [%eval -2.95] } 21... Rd7 { [%eval -2.9] } 22. Ba3 { [%eval -3.01] } 22... Rff7?! { [%eval -2.51] } 0-1
 Classical tournament ,alcool,JocaDisa,0-1,2016.06.30,22:00:11,1739,1837,-8,9,A41,Old Indian Defense,600+0,Normal,1. d4 d6 2. c4 e6 3. Nc3 Bd7 4. Nf3 Be7 5. e4 Nc6 6. Bf4 Nf6 7. a3 Nh5 8. Be3 e5 9. dxe5 dxe5 10. Be2 Nf4 11. Nd5 Nxg2+ 12. Kf1 Nxe3+ 13. Nxe3 Bh3+ 14. Ke1 Nd4 15. Nxd4 exd4 16. Nd5 c6 17. Nxe7 Qxe7 18. Bd3 Bg2 19. Rg1 Bxe4 20. Bxe4 Qxe4+ 21. Qe2 Qxe2+ 22. Kxe2 O-O 23. c5 b6 24. b4 Rfe8+ 25. Kd3 bxc5 26. bxc5 Rad8 27. Rab1 Re5 28. Rb7 Rxc5 29. Rxa7 Rc3+ 30. Kd2 c5 31. Rg5 Rb8 32. Re5 g6 33. Ree7 Rb2+ 34. Kd1 Rxf2 35. a4 Ra3 36. Ke1 Raa2 37. a5 c4 38. Rec7 c3 39. a6 Rfd2 40. Ra8+ Kg7 41. a7 Ra1# 0-1
 Blitz tournament ,AROLDXV,Chatard,0-1,2016.06.30,22:00:11,1653,1913,-4,4,A00,Saragossa Opening,180+0,Time forfeit,1. c3 d5 2. b3 e5 3. Bb2 f5 4. g3 Nf6 5. Bg2 Bd6 6. Na3 O-O 7. Nb5 Bc5 8. d4 exd4 9. cxd4 Bb4+ 10. Bc3 Qe7 11. a3 Bxc3+ 12. Nxc3 c6 13. e3 Ne4 14. Nxe4 fxe4 15. Nh3 Bxh3 16. Bxh3 Nd7 17. O-O Rf6 18. Qg4 Nf8 19. Qe2 Ne6 20. Bg2 Ng5 21. f4 exf3 22. Bxf3 Nxf3+ 23. Rxf3 Raf8 24. Rxf6 Qxf6 25. Kg2 Qf5 26. Rf1 Qe4+ 27. Kh3 Rxf1 28. Qxf1 Qxe3 29. Qf5 Qh6+ 30. Kg2 Qd2+ 31. Kh3 Qxd4 32. Qe6+ Kf8 33. Qd6+ Kf7 34. Qd7+ Kg6 35. Qe6+ Qf6 36. Qg4+ Qg5 37. Qe2 Qh5+ 38. Qxh5+ Kxh5 39. g4+ Kg5 40. Kg3 h5 41. h4+ Kf6 42. g5+ Kf5 43. Kf3 g6 44. b4 c5 45. bxc5 Ke5 46. Ke3 d4+ 47. Kd3 Kd5 48. a4 Kxc5 49. a5 a6 50. Ke4 Kb5 51. Kxd4 Kxa5 52. Kc5 Ka4 53. Kb6 a5 54. Kxb7 Kb4 55. Kc6 a4 56. Kd6 a3 57. Ke6 a2 58. Kf6 a1=Q+ 59. Kxg6 Qh8 60. Kf5 Kc5 61. g6 Kd6 0-1
 Blitz tournament ,ELE5EN,ghorbato,1-0,2016.06.30,22:00:11,2151,2089,12,-8,A46,Torre Attack #2,180+2,Normal,1. d4 Nf6 2. Nf3 e6 3. g3 d5 4. Bg2 c5 5. O-O Be7 6. c4 O-O 7. cxd5 Nxd5 8. Nc3 cxd4 9. Qxd4 Nxc3 10. Qxc3 Nc6 11. Be3 Bd7 12. Rfd1 Rc8 13. Qd3 Be8 14. Qb3 Qc7 15. Rac1 Bd7 16. Bxa7 Qa5 17. Bb6 Qa6 18. e4 Be8 19. Bf1 Qa8 20. a3 Bf6 21. Bc5 Be7 22. Bxe7 Nxe7 23. Ne5 Nc6 24. Nc4 Na5 25. Nxa5 Rxc1 26. Rxc1 Qxa5 27. Qxb7 Qd2 28. Rc8 Qg5 29. Qb8 Qe7 30. b4 Bd7 31. Rxf8+ Qxf8 32. Qxf8+ Kxf8 33. Bc4 Ke7 34. Kf1 Kd6 35. Ke2 Ba4 36. Ke3 e5 37. f4 f6 38. Bg8 h6 39. Bd5 Bb5 40. Bb3 Bd7 41. a4 Kc7 42. Kd3 Kb6 43. Kc4 Be6+ 44. Kc3 Bd7 45. a5+ Kb7 46. Bc4 Ba4 47. b5 Bd1 48. Kb4 Bf3 49. Bd5+ Kb8 50. Kc5 exf4 51. gxf4 g5 52. fxg5 fxg5 53. a6 Ka7 54. Bb7 Be2 55. b6+ Kb8 56. e5 Bg4 57. Bd5 1-0
 Blitz ,lopezmontes,kcrabs,1-0,2016.06.30,22:00:11,1410,1530,15,-15,A40,"Englund Gambit Declined, Reversed French",300+0,Normal,1. e3 e5 2. d4 exd4 3. exd4 Nc6 4. Nf3 Nf6 5. Bg5 d6 6. d5 Ne7 7. Bxf6 gxf6 8. Bb5+ c6 9. dxc6 Nxc6 10. Qe2+ Be7 11. Bxc6+ bxc6 12. Qe4 d5 13. Qa4 Bd7 14. O-O Qb8 15. b3 Rg8 16. Re1 Kf8 17. Nc3 Qd6 18. Rad1 Bh3 19. Nh4 f5 20. Kh1 Bxh4 21. gxh3 Bxf2 22. Rf1 Be3 23. Rxf5 Bf4 24. Qxf4 Qxf4 25. Rxf4 Re8 26. Rdf1 Rg7 27. Na4 Re3 28. Nc5 Rxh3 29. Nd7+ Kg8 30. Nf6+ Kf8 31. Nd7+ Kg8 32. Re1 h6 33. Nf6+ Kf8 34. Re8# 1-0
 Classical ,Quidams,vasyl-60,0-1,2016.06.30,22:00:09,1597,1761,-6,6,C00,French Defense: La Bourdonnais Variation,600+0,Time forfeit,1. e4 { [%eval 0.22] } 1... e6 { [%eval 0.41] } 2. f4?! { [%eval -0.13] } 2... d6 { [%eval 0.09] } 3. Nf3 { [%eval 0.1] } 3... Bd7 { [%eval 0.29] } 4. Bc4 { [%eval 0.25] } 4... Nc6 { [%eval 0.59] } 5. O-O { [%eval 0.65] } 5... Be7 { [%eval 0.72] } 6. e5?! { [%eval 0.2] } 6... d5 { [%eval 0.24] } 7. Bd3 { [%eval 0.11] } 7... a6 { [%eval 0.29] } 8. c3 { [%eval 0.24] } 8... Na7 { [%eval 0.25] } 9. Bc2 { [%eval 0.32] } 9... Bc6?! { [%eval 0.96] } 10. d4 { [%eval 1.02] } 10... b5?! { [%eval 1.85] } 11. Ng5 { [%eval 1.75] } 11... Nh6?! { [%eval 2.57] } 12. Qh5 { [%eval 2.45] } 12... Bxg5 { [%eval 2.48] } 13. fxg5 { [%eval 2.42] } 13... Nf5 { [%eval 2.52] } 14. g4 { [%eval 2.48] } 14... g6 { [%eval 2.47] } 15. Qh3 { [%eval 2.47] } 15... Ng7? { [%eval 3.8] } 16. Be3? { [%eval 2.73] } 16... Qe7 { [%eval 2.63] } 17. Nd2 { [%eval 2.65] } 17... Bb7?! { [%eval 3.39] } 18. Nf3?! { [%eval 2.4] } 18... O-O-O { [%eval 2.67] } 19. a4 { [%eval 2.54] } 19... c6?! { [%eval 3.13] } 20. axb5 { [%eval 2.8] } 20... cxb5 { [%eval 2.82] } 21. Bd3 { [%eval 2.69] } 21... Ne8 { [%eval 2.78] } 22. Nd2 { [%eval 2.68] } 22... Nc7 { [%eval 2.68] } 23. Nb3 { [%eval 2.85] } 23... Kb8 { [%eval 2.79] } 24. Nc5 { [%eval 2.77] } 24... Rd7? { [%eval 4.4] } 25. Nxd7+ { [%eval 4.39] } 25... Qxd7 { [%eval 4.48] } 26. Rfb1? { [%eval 3.38] } 26... Qc6 { [%eval 3.59] } 27. Qh6 { [%eval 3.53] } 27... Qe8 { [%eval 3.54] } 28. Qh3 { [%eval 3.26] } 28... Qd7 { [%eval 3.55] } 29. Qf1 { [%eval 3.46] } 29... Qc6? { [%eval 5.45] } 30. Qxf7 { [%eval 5.0] } 30... Qe8?! { [%eval 5.81] } 31. Qxe8+ { [%eval 5.58] } 31... Nxe8 { [%eval 5.55] } 32. Rf1 { [%eval 5.31] } 32... Nc7 { [%eval 5.34] } 33. Rf6 { [%eval 4.9] } 33... Nc6? { [%eval 6.56] } 34. Raf1 { [%eval 6.12] } 34... Ka7? { [%eval 7.47] } 35. Rf8 { [%eval 7.23] } 35... Kb6? { [%eval 14.12] } 0-1
 Bullet ,edushi,tiltCHIMP,0-1,2016.06.30,22:00:10,1520,1791,-5,4,B23,Sicilian Defense: Closed,60+0,Normal,1. e4 { [%eval 0.31] } 1... c5 { [%eval 0.39] } 2. Nc3 { [%eval 0.36] } 2... e6 { [%eval 0.28] } 3. d3 { [%eval -0.16] } 3... Nc6 { [%eval -0.1] } 4. Be3 { [%eval -0.17] } 4... Nf6 { [%eval -0.25] } 5. Be2 { [%eval -0.22] } 5... d5 { [%eval -0.26] } 6. exd5 { [%eval -0.22] } 6... exd5 { [%eval -0.22] } 7. Bd2?! { [%eval -0.78] } 7... Be7 { [%eval -0.8] } 8. f4 { [%eval -1.12] } 8... O-O { [%eval -1.19] } 9. g4?! { [%eval -1.78] } 9... Qc7? { [%eval 0.24] } 10. g5 { [%eval 0.03] } 10... Nd7 { [%eval 0.15] } 11. h4?! { [%eval -0.63] } 11... Nb6 { [%eval -0.63] } 12. Be3? { [%eval -2.43] } 12... d4 { [%eval -2.55] } 13. Bxd4?? { [%eval -6.58] } 13... Nxd4 { [%eval -6.54] } 14. Ne4 { [%eval -6.46] } 14... Bf5? { [%eval -5.43] } 15. Bf3? { [%eval -6.79] } 15... Rfe8? { [%eval -5.69] } 16. Qd2? { [%eval -8.28] } 16... Nd5? { [%eval -5.76] } 17. Ng3?? { [%eval -16.74] } 17... Bxg5+ { [%eval -15.99] } 18. Kf2 { [%eval -17.38] } 18... Bxf4 { [%eval -17.06] } 19. Nxf5 { [%eval -18.42] } 19... Bxd2 { [%eval -17.59] } 20. Bxd5 { [%eval -18.87] } 20... Nxf5 { [%eval -15.99] } 0-1
 Blitz ,GY1986,RobRigatoni,1-0,2016.06.30,22:00:12,1519,1697,18,-16,A00,Van't Kruijs Opening,300+0,Time forfeit,1. e3 e5 2. g3 e4 3. Bg2 d5 4. f3 f5 5. f4 Nc6 6. d3 Be6 7. dxe4 fxe4 8. Qh5+ g6 9. Qe2 Qf6 10. Nc3 d4 11. exd4 Nxd4 12. Qxe4 c6 13. Be3 Nf5 14. O-O-O Nxe3 15. Qxe3 Ne7 16. Nf3 Bg7 17. Ne5 O-O 18. Nd7 Bxd7 19. Rxd7 Nf5 20. Qe4 Rae8 21. Qc4+ Kh8 22. Rhd1 Ne3 23. Ne4 Qf5 24. Qd3 Nxd1 25. Kxd1 Bxb2 26. c3 Ba3 27. Qd4+ Rf6 28. Nxf6 c5 29. Nxe8+ cxd4 30. cxd4 Qd3+ 31. Ke1 Bb4+ 32. Kf2 Qd2+ 33. Kf3 Qd1+ 34. Ke4 Qe1+ 35. Kd5 1-0
 Classical ,rodrigokenji,kimosd,0-1,2016.06.30,22:00:14,1457,1869,-3,2,A84,Dutch Defense: Classical Variation,1200+5,Normal,1. d4 e6 2. c4 f5 3. Nf3 Be7 4. Nc3 Nf6 5. Bg5 Ne4 6. Bxe7 Qxe7 7. Nxe4 fxe4 8. Ne5 O-O 9. e3 d6 10. Ng4 e5 11. dxe5 dxe5 12. Be2 Qb4+ 13. Kf1 Nc6 14. Nxe5 Nxe5 15. f4 Nc6 16. Qd5+ Kh8 17. Bg4 Bxg4 18. h4 Qd6 19. Qxd6 cxd6 20. Rd1 Rad8 21. Kf2 Bxd1 22. Rxd1 Ne5 23. c5 Nd3+ 24. Ke2 dxc5 25. b4 c4 0-1
 Blitz ,altyse,chessacless,1-0,2016.06.30,22:00:13,1871,1575,4,-4,B07,Pirc Defense #5,300+0,Normal,1. e4 d6 2. d4 a6 3. c4 c5 4. dxc5 Nf6 5. Nc3 Bg4 6. f3 Be6 7. cxd6 exd6 8. Be3 Nc6 9. Nd5 Bxd5 10. cxd5 Nb4 11. Qa4+ Nd7 12. Qxb4 a5 13. Qb5 Be7 14. Rc1 O-O 15. Bd3 Nc5 16. Bxc5 dxc5 17. Ne2 b6 18. Nc3 Bf6 19. O-O Bd4+ 20. Kh1 Qg5 21. Ne2 Be3 22. Rc2 Rab8 23. Nc3 h5 24. Na4 Qf6 25. Be2 h4 26. Qd7 Rbd8 27. Qg4 Qh6 28. Nc3 Rd6 29. Nb5 Rg6 30. Qf5 Rg5 31. Qh3 Bf4 32. a3 Rc8 33. b4 Re8 34. bxc5 bxc5 35. Rxc5 Be3 36. Rc6 f6 37. f4 Rg3 38. hxg3 Rxe4 39. Bf3 Ra4 40. Nd6 Rxa3 41. Nf5 Qg6 42. Ne7+ Kf7 43. Nxg6 Kxg6 44. Qxh4 Rd3 45. Qh5# 1-0
 Blitz ,Arranz,fel1x,0-1,2016.06.30,22:00:10,1693,1718,-10,10,B54,Sicilian Defense,180+0,Normal,1. e4 { [%eval 0.3] } 1... c5 { [%eval 0.25] } 2. Nf3 { [%eval 0.24] } 2... d6 { [%eval 0.23] } 3. d4 { [%eval 0.34] } 3... b6? { [%eval 1.57] } 4. Nc3?! { [%eval 0.87] } 4... Bb7?! { [%eval 1.66] } 5. Bb5+ { [%eval 1.56] } 5... Nc6? { [%eval 3.6] } 6. d5 { [%eval 3.63] } 6... a6? { [%eval 5.34] } 7. dxc6 { [%eval 5.22] } 7... axb5 { [%eval 5.29] } 8. cxb7 { [%eval 4.89] } 8... Rb8 { [%eval 4.97] } 9. Nxb5 { [%eval 4.8] } 9... Rxb7 { [%eval 5.06] } 10. O-O { [%eval 4.6] } 10... Nf6? { [%eval 6.15] } 11. e5 { [%eval 5.93] } 11... Ne4?? { [%eval 10.45] } 12. exd6?? { [%eval 6.36] } 12... Nxd6 { [%eval 6.27] } 13. Nxd6+? { [%eval 4.93] } 13... exd6? { [%eval 6.34] } 14. Re1+? { [%eval 4.81] } 14... Be7 { [%eval 4.53] } 15. Qe2?! { [%eval 3.94] } 15... O-O { [%eval 3.92] } 16. Bf4 { [%eval 3.95] } 16... Re8?! { [%eval 4.49] } 17. Qd2 { [%eval 4.08] } 17... Rd7 { [%eval 4.1] } 18. Rad1 { [%eval 4.18] } 18... h6?! { [%eval 4.78] } 19. Bxh6? { [%eval 2.39] } 19... gxh6 { [%eval 2.58] } 20. Qxh6 { [%eval 2.56] } 20... f6?? { [%eval #9] } 21. Qg6+ { [%eval #8] } 21... Kf8 { [%eval #4] } 22. Re6?! { [%eval #9] } 22... d5 { [%eval #9] } 23. Rde1 { [%eval #8] } 23... Rd6 { [%eval #8] } 24. Nh4?! { [%eval 54.99] } 24... Rxe6 { [%eval 54.87] } 25. Rxe6 { [%eval 53.1] } 25... Bd6 { [%eval 53.1] } 26. Nf5?? { [%eval -1.58] } 26... Rxe6 { [%eval -1.56] } 27. Qg7+? { [%eval -3.59] } 27... Ke8 { [%eval -3.44] } 28. Qg8+?! { [%eval -4.36] } 28... Kd7 { [%eval -4.2] } 29. Qg4?? { [%eval #-1] } 29... Re1# 0-1
 Classical ,guyincog,celinadia,0-1,2016.06.30,22:00:14,1155,1291,-10,8,D01,Queen's Pawn Game: Chigorin Variation,1200+0,Normal,1. d4 d5 2. Nc3 Nf6 3. Nf3 e6 4. Bf4 Bb4 5. Bd2 Bd6 6. Nb5 Bd7 7. a4 a6 8. Nc3 Nc6 9. e3 e5 10. Bd3 exd4 11. exd4 Qe7+ 12. Be3 Bf4 13. O-O Bxe3 14. fxe3 Qxe3+ 15. Kh1 Nxd4 16. Ne5 0-1
